Sistema;Emisión;Comprobante;Código;Descripción;Debe;Haber;Observaciones;
2;31-08-2023;FACA-02172-00988622-510;908;YPF S A;27.961,39;0,00;;
2;11-09-2023;FACA-00200-00011364-510;666;VOLVO TRUCKS Y BUSES ARG. S.A.;16.612,13;0,00;;
2;15-09-2023;FACA-02172-01007912-510;908;YPF S A;5.791,84;0,00;;
2;03-10-2023;FACA-00011-00036326-510;7259;MAMPRIN Y SCEVOLA S.R.L.;2.959,99;0,00;;
2;08-09-2023;DIM-23001IC04151493P-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;5.389,23;0,00;;
2;08-09-2023;DIM-23001IC04151467Z-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;2.607,13;0,00;;
2;19-09-2023;DIM-23001IC04157329T-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;11.021,50;0,00;;
2;26-09-2023;DIM-23001IC04162336N-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;21.202,53;0,00;;
2;15-09-2023;DIM-23001IC06018295T-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;50.617,00;0,00;;
2;02-10-2023;DIM-23001IC04165530M-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;28.940,87;0,00;;
2;30-09-2023;FACA-02172-01019982-510;908;YPF S A;5.513,38;0,00;;
2;10-10-2023;FACA-00011-00036462-510;7259;MAMPRIN Y SCEVOLA S.R.L.;21.222,02;0,00;;
2;15-10-2023;FACA-02172-01040113-510;908;YPF S A;3.849,65;0,00;;
2;31-10-2023;FACA-02172-01052822-510;908;YPF S A;6.431,41;0,00;;
2;02-11-2023;DIM-23001IC04185329U-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;31.761,46;0,00;;
2;07-11-2023;DIM-23001IC06022562L-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;19.504,07;0,00;;
2;29-11-2023;DIM-23001IC04202281H-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;69.545,27;0,00;;
2;15-11-2023;FACA-02172-01072303-510;908;YPF S A;58.258,22;0,00;;
2;30-11-2023;FACA-02172-01085298-510;908;YPF S A;5.580,00;0,00;;
4;30-05-2023;Asiento contable ID#3212;0;;0,00;84.415,17;;
4;01-06-2023;Asiento contable ID#3334;0;apertura patrimonial;0,00;0,00;;
4;31-07-2023;Asiento contable ID#3340;0;;0,00;302.131,51;;
4;31-08-2023;Asiento contable ID#3592;0;;0,00;294.036,52;;
4;01-07-2023;Asiento contable ID#3630;0;;99,28;0,00;;
4;30-09-2023;Asiento contable ID#3875;0;;0,00;1.190.640,16;;
4;31-10-2023;Asiento contable ID#4143;0;;0,00;211.469,80;;
4;30-11-2023;Asiento contable ID#4309;0;;0,00;447.231,54;;
5;01-06-2023;Movimiento ID#24836 Nro: #NA-281;0;sirtac;37,81;0,00;;
