Sistema;Emisión;Comprobante;Código;Descripción;Debe;Haber;Observaciones
2;31/8/2023;FACA-00253-00114955-510;1;ATANOR S.C.A.;90.384,00;0;
2;31/8/2023;FACA-00253-00114953-510;1;ATANOR S.C.A.;108.461,50;0;
2;31/8/2023;FACA-00253-00115036-510;1;ATANOR S.C.A.;90.384,00;0;
2;31/8/2023;FACA-00253-00115084-510;1;ATANOR S.C.A.;63.269,50;0;
2;31/8/2023;FACA-00253-00115074-510;1;ATANOR S.C.A.;36.151,50;0;
2;31/8/2023;FACA-00253-00115073-510;1;ATANOR S.C.A.;108.461,50;0;
2;4/8/2023;FACA-00674-00031697-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;542,84;0;
2;10/8/2023;FACA-00674-00032692-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;125,84;0;
2;9/8/2023;FACA-00674-00032570-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;78,39;0;
2;10/8/2023;NCA-00644-00001201-570;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;0;270,98;
2;8/8/2023;FACA-00674-00032234-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;913,69;0;
2;25/8/2023;FACA-00380-00004823-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;216.296,50;0;
2;28/8/2023;FACA-00380-00004998-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;162.236,34;0;
2;29/8/2023;FACA-00380-00005023-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;216.199,11;0;
2;30/8/2023;FACA-00380-00005168-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;71.613,50;0;
2;5/9/2023;FACA-00004-00024417-510;872;EL GRAN OMBU S A;10,16;0;ya esta pagado
2;31/8/2023;FACA-02172-00988622-510;908;YPF S A;1.591,48;0;
2;8/9/2023;FACA-00004-00024430-510;872;EL GRAN OMBU S A;8,07;0;
2;31/8/2023;NDA-00529-00011648-520;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;9.349,38;0;
2;31/8/2023;NDA-00529-00011647-520;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;80.891,40;0;
2;31/8/2023;NDA-00529-00011646-520;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;26.291,05;0;
2;13/9/2023;FACA-00674-00036147-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;39,38;0;
2;15/9/2023;NDA-00254-00092950-520;1;ATANOR S.C.A.;8,91;0;
2;15/9/2023;NDA-00254-00092949-520;1;ATANOR S.C.A.;8,91;0;
2;15/9/2023;NDA-00254-00092948-520;1;ATANOR S.C.A.;10,7;0;
2;15/9/2023;NDA-00254-00092946-520;1;ATANOR S.C.A.;10,7;0;
2;15/9/2023;NDA-00254-00092947-520;1;ATANOR S.C.A.;10,7;0;
2;15/9/2023;NDA-00254-00092945-520;1;ATANOR S.C.A.;10,7;0;
2;15/9/2023;NDA-00254-00092944-520;1;ATANOR S.C.A.;10,7;0;
2;15/9/2023;NDA-00254-00092943-520;1;ATANOR S.C.A.;7,01;0;
2;15/9/2023;NDA-00254-00092942-520;1;ATANOR S.C.A.;10,7;0;
2;15/9/2023;NDA-00254-00092941-520;1;ATANOR S.C.A.;10,7;0;
2;15/9/2023;NDA-00254-00092940-520;1;ATANOR S.C.A.;10,7;0;
2;15/9/2023;NDA-00254-00092939-520;1;ATANOR S.C.A.;10,7;0;
2;15/9/2023;NDA-00254-00092938-520;1;ATANOR S.C.A.;10,7;0;
2;15/9/2023;NDA-00254-00092936-520;1;ATANOR S.C.A.;45.636,03;0;
2;15/9/2023;NDA-00254-00092935-520;1;ATANOR S.C.A.;45.636,03;0;
2;15/9/2023;NDA-00254-00092934-520;1;ATANOR S.C.A.;45.623,98;0;
2;15/9/2023;NDA-00254-00092933-520;1;ATANOR S.C.A.;86.495,00;0;
2;15/9/2023;NDA-00254-00092937-520;1;ATANOR S.C.A.;7.606,00;0;
2;15/9/2023;NDA-00254-00092951-520;1;ATANOR S.C.A.;7,13;0;
2;20/9/2023;FACA-00253-00115486-510;1;ATANOR S.C.A.;57.811,74;0;
2;18/9/2023;FACA-05010-00010939-510;295;CARGILL S.A.C.E.I.;3,5;0;
2;19/9/2023;FACA-00674-00036903-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;23,39;0;
2;20/9/2023;FACA-00253-00115511-510;1;ATANOR S.C.A.;38.539,99;0;
2;22/9/2023;FACA-00674-00037411-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;21,15;0;
2;22/9/2023;FACA-00674-00037372-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;21,4;0;
2;21/9/2023;FACA-00253-00115556-510;1;ATANOR S.C.A.;38.314,94;0;
2;21/9/2023;FACA-00253-00115553-510;1;ATANOR S.C.A.;38.314,94;0;
2;1/9/2023;FACA-00674-00029171-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;132,42;0;
2;20/9/2023;FACA-00674-00037047-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;19,72;0;
2;17/9/2023;FACA-06364-07794933-510;29;TELECOM ARGENTINA S.A.;11,32;0;.
2;27/9/2023;FACA-00253-00115765-510;1;ATANOR S.C.A.;5.421,50;0;
2;27/9/2023;FACA-00254-00003186-510;1;ATANOR S.C.A.;1.463,00;0;
2;27/9/2023;FACA-00254-00003185-510;1;ATANOR S.C.A.;1.123,50;0;
2;26/9/2023;FACA-00674-00037859-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;71,85;0;
2;28/9/2023;FACA-01047-00031298-510;2;CHEMOTECNICA S.A.;7.703,50;0;
2;28/9/2023;FACA-01047-00031297-510;2;CHEMOTECNICA S.A.;7.143,50;0;
2;27/9/2023;FACA-00674-00038007-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;19,92;0;
2;29/9/2023;FACA-01047-00031303-510;2;CHEMOTECNICA S.A.;5.205,24;0;
2;29/9/2023;FACA-01047-00031307-510;2;CHEMOTECNICA S.A.;7.144,52;0;
2;14/9/2023;FACA-00674-00036345-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;36,07;0;
2;28/9/2023;FACA-00674-00038178-510;235;ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LT;19,53;0;
2;15/9/2023;FACA-02172-01007912-510;908;YPF S A;522,46;0;
2;27/9/2023;FACA-00380-00006169-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;125.916,00;0;
2;28/9/2023;FACA-00380-00006252-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;34.002,50;0;
2;15/9/2023;FACA-00301-00037664-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;4.900,70;0;
2;15/9/2023;FACA-00301-00037665-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;13.126,88;0;
2;15/9/2023;FACA-00301-00037666-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;2.233,32;0;
2;28/9/2023;FACA-00380-00006253-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;98.787,50;0;
2;28/9/2023;FACA-00380-00006401-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;163.656,50;0;
2;28/9/2023;FACA-00380-00006785-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;99.183,00;0;
2;26/9/2023;FACA-00380-00005969-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;86.997,93;0;
2;26/9/2023;FACA-00380-00005968-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;24.149,95;0;
2;26/9/2023;FACA-00380-00005967-510;249;SYNGENTA AGRO SOCIEDAD ANONIMA;108.270,47;0;
2;7/9/2023;FACA-00529-00015895-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;17.860,50;0;
2;7/9/2023;FACA-00529-00015894-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;18.637,50;0;
2;18/9/2023;FACA-00529-00016020-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;12.820,50;0;
2;15/9/2023;FACA-00529-00016001-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;184.537,50;0;
2;15/9/2023;FACA-00529-00015994-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;54.204,50;0;
2;15/9/2023;FACA-00529-00015993-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;12.677,00;0;
2;15/9/2023;FACA-00529-00015992-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;57.400,00;0;
2;15/9/2023;FACA-00529-00015991-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;11.354,00;0;
2;11/9/2023;FACA-00529-00015930-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;39.894,30;0;
2;8/9/2023;FACA-00529-00015907-510;251;CORTEVA AGRISCIENCE ARGENTINA S.R.L.;11.478,36;0;
2;2/10/2023;DIM-23001IC04165530M-516;8887;ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS;108.351,52;0;
